Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_clone_repo_via_ssh,14,6832,6787,7761,7868,7902,5586,7911,0.0
jmeter_create_repo_shallow_copy,20,33,32,36,39,43,29,44,0.0
jmeter_git_add,14968,3,3,4,4,8,1,50,0.0
jmeter_git_commit,14968,6,5,7,8,11,3,97,0.0
jmeter_git_push_via_ssh,10520,348,326,442,510,642,227,1266,0.0
jmeter_git_fetch_via_ssh,10516,314,247,611,746,931,149,1541,0.0
jmeter_clone_repo_via_http,6,7238,7066,7836,7878,7911,6639,7919,0.0
jmeter_git_push_via_http,4448,306,301,335,351,472,247,1420,0.0
jmeter_git_fetch_via_http,4448,167,135,192,461,656,105,820,0.0
selenium_login:open_login_page,130,168,159,179,244,275,148,445,0.0
selenium_login:login_get_started,130,343,335,376,400,422,296,452,0.0
selenium_login,130,608,596,658,689,704,545,993,0.0
selenium_view_dashboard,130,1027,820,1598,1749,1965,439,2250,0.0
selenium_create_pull_request:create_pull_request,130,7053,7059,7386,7514,7718,6267,7929,0.0
selenium_create_pull_request:merge_pull_request,130,1713,1805,2338,2356,2846,1287,2851,0.0
selenium_create_pull_request,130,9856,9738,10755,10960,11212,8859,11316,0.0
selenium_view_projects,130,453,455,494,505,547,357,677,0.0
selenium_view_project_repositories,130,284,271,290,305,760,246,780,0.0
selenium_view_repository,130,405,381,434,594,773,329,795,0.0
selenium_view_list_pull_requests,130,404,404,440,454,491,326,502,0.0
selenium_view_pull_request_overview,130,764,602,1303,1343,1380,473,1462,0.0
selenium_view_pull_request_diff,130,798,954,1025,1047,1078,463,1103,0.0
selenium_view_pull_request_commits,130,999,997,1055,1075,1106,913,1495,0.0
selenium_comment_pull_request_file,130,2144,2128,2367,2439,2572,1818,2591,0.0
selenium_comment_pull_request_overview,130,1238,1246,1287,1304,1347,1011,1435,0.0
selenium_view_branches,130,887,880,929,943,972,828,993,0.0
selenium_view_commits,130,1248,1246,1320,1340,1385,1101,1406,0.0
selenium_app_custom_action:view_snippets_page,130,690,680,747,760,825,613,1011,0.0
selenium_app_custom_action,130,690,681,748,760,825,613,1011,0.0
selenium_log_out,130,164,160,175,194,220,147,259,0.0
