Summary run status                                OK
                                               
Artifacts dir                                     2020-11-07_08-12-00                               
OS                                                Linux                                             
DC Apps Performance Toolkit version               3.2.0                                             
Application                                       confluence 7.4.4                                  
Dataset info                                      903450 pages                                      
Application nodes count                           1                                                 
Concurrency                                       200                                               
Expected test run duration from yml file          2700 sec                                          
Actual test run duration                          3011 sec                                          
Finished                                          (True, 'OK')                                      
Compliant                                         (True, 'OK')                                      
Success                                           (True, 'OK')                                      
Has app-specific actions                          False                                             

Action                                           Success Rate                                      Status                                            
locust_comment_page                               100.0                                             OK                                                
locust_create_blog                                100.0                                             OK                                                
locust_create_blog_editor                         100.0                                             OK                                                
locust_create_page                                100.0                                             OK                                                
locust_create_page_editor                         100.0                                             OK                                                
locust_edit_page                                  100.0                                             OK                                                
locust_like_page                                  100.0                                             OK                                                
locust_login_and_view_dashboard                   100.0                                             OK                                                
locust_open_editor                                100.0                                             OK                                                
locust_search_cql                                 100.0                                             OK                                                
locust_search_recently_viewed                     100.0                                             OK                                                
locust_upload_attachments                         100.0                                             OK                                                
locust_view_attachments                           100.0                                             OK                                                
locust_view_blog                                  100.0                                             OK                                                
locust_view_dashboard                             100.0                                             OK                                                
locust_view_page                                  100.0                                             OK                                                
locust_view_page_tree                             100.0                                             OK                                                
selenium_a_login                                  100.0                                             OK                                                
selenium_create_comment                           100.0                                             OK                                                
selenium_create_page                              100.0                                             OK                                                
selenium_edit_page                                100.0                                             OK                                                
selenium_view_blog                                100.0                                             OK                                                
selenium_view_dashboard                           100.0                                             OK                                                
selenium_view_page                                100.0                                             OK                                                
selenium_z_log_out                                100.0                                             OK                                                
