Summary run status                                 OK
                 
Artifacts dir                                      2021-02-10_19-57-33 
OS                                                 Linux               
DC Apps Performance Toolkit version                4.0.0               
Application                                        confluence          
Dataset info                                       922762 pages        
Application nodes count                            1                   
Concurrency                                        200                 
Expected test run duration from yml file           2700 sec            
Actual test run duration                           3011 sec            
Finished                                           (True, 'OK')        
Compliant                                          (True, 'OK')        
Success                                            (True, 'OK')        
Has app-specific actions                           False               

Action                                            Success Rate        Avg time            Status              
locust_comment_page                                100.0               0.179               OK                  
locust_create_and_edit_page:create_page            100.0               0.829               OK                  
locust_create_and_edit_page:create_page_editor     100.0               0.535               OK                  
locust_create_and_edit_page:edit_page              100.0               0.931               OK                  
locust_create_and_edit_page:open_editor            100.0               0.405               OK                  
locust_create_blog:blog_editor                     100.0               0.546               OK                  
locust_create_blog:feel_and_publish                100.0               0.847               OK                  
locust_like_page                                   100.0               0.106               OK                  
locust_login_and_view_dashboard                    100.0               2.455               OK                  
locust_search_cql:recently_viewed                  100.0               0.061               OK                  
locust_search_cql:search_results                   100.0               0.689               OK                  
locust_upload_attachment                           100.0               1.386               OK                  
locust_view_attachment                             100.0               0.195               OK                  
locust_view_blog                                   100.0               1.774               OK                  
locust_view_dashboard                              100.0               2.08                OK                  
locust_view_page:open_page                         100.0               0.924               OK                  
locust_view_page:view_page_tree                    100.0               0.232               OK                  
selenium_a_login                                   100.0               1.141               OK                  
selenium_create_comment                            100.0               1.827               OK                  
selenium_create_page                               100.0               2.029               OK                  
selenium_edit_page                                 100.0               2.79                OK                  
selenium_view_blog                                 100.0               1.018               OK                  
selenium_view_dashboard                            100.0               1.761               OK                  
selenium_view_page                                 100.0               0.554               OK                  
selenium_z_log_out                                 100.0               0.134               OK                  
