Summary run status                                 FAIL
               
Artifacts dir                                      2021-02-11_09-27-40 
OS                                                 Linux               
DC Apps Performance Toolkit version                4.0.0               
Application                                        confluence          
Dataset info                                       926599 pages        
Application nodes count                            1                   
Concurrency                                        200                 
Expected test run duration from yml file           600 sec             
Actual test run duration                           525 sec             
Finished                                           (False, 'Actual test duration 525 sec < than expected test_duration 600 sec.')
Compliant                                          (False, 'Test run duration 525 sec < than minimum test duration 2700 sec.')
Success                                            (True, 'OK')        
Has app-specific actions                           True                

Action                                            Success Rate        Avg time            Status              
locust_comment_page                                100.0               0.142               OK                  
locust_create_and_edit_page:create_page            100.0               0.593               OK                  
locust_create_and_edit_page:create_page_editor     100.0               0.352               OK                  
locust_create_and_edit_page:edit_page              100.0               0.618               OK                  
locust_create_and_edit_page:open_editor            100.0               0.216               OK                  
locust_create_blog:blog_editor                     100.0               0.383               OK                  
locust_create_blog:feel_and_publish                100.0               0.597               OK                  
locust_like_page                                   100.0               0.047               OK                  
locust_login_and_view_dashboard                    100.0               2.399               OK                  
locust_search_cql:recently_viewed                  100.0               0.033               OK                  
locust_search_cql:search_results                   100.0               0.481               OK                  
locust_upload_attachment                           100.0               4.956               OK                  
locust_view_attachment                             100.0               0.122               OK                  
locust_view_blog                                   100.0               2.04                OK                  
locust_view_dashboard                              100.0               1.783               OK                  
locust_view_page:open_page                         100.0               0.846               OK                  
locust_view_page:view_page_tree                    100.0               0.123               OK                  
selenium_a_login                                   100.0               1.092               OK                  
selenium_create_comment                            100.0               1.826               OK                  
selenium_create_page                               100.0               2.027               OK                  
selenium_edit_page                                 100.0               3.272               OK                  
selenium_view_blog                                 100.0               1.1                 OK                  
selenium_view_dashboard                            100.0               1.727               OK                  
selenium_view_page                                 100.0               0.679               OK                  
selenium_z_log_out                                 100.0               0.205               OK                  
locust_app_specific_action                         0.0                 0.013               Fail                APP-SPECIFIC        
selenium_custom_action                             100.0               3.044               OK                  APP-SPECIFIC        
