Summary run status                                 OK
                 
Artifacts dir                                      2021-02-12_13-48-56 
OS                                                 Linux               
DC Apps Performance Toolkit version                4.0.0               
Application                                        confluence          
Dataset info                                       903259 pages        
Application nodes count                            2                   
Concurrency                                        200                 
Expected test run duration from yml file           2700 sec            
Actual test run duration                           3011 sec            
Finished                                           (True, 'OK')        
Compliant                                          (True, 'OK')        
Success                                            (True, 'OK')        
Has app-specific actions                           True                

Action                                            Success Rate        Avg time            Status              
locust_comment_page                                100.0               0.162               OK                  
locust_create_and_edit_page:create_page            100.0               0.642               OK                  
locust_create_and_edit_page:create_page_editor     100.0               0.36                OK                  
locust_create_and_edit_page:edit_page              100.0               0.685               OK                  
locust_create_and_edit_page:open_editor            100.0               0.235               OK                  
locust_create_blog:blog_editor                     100.0               0.413               OK                  
locust_create_blog:feel_and_publish                100.0               0.644               OK                  
locust_like_page                                   100.0               0.06                OK                  
locust_login_and_view_dashboard                    100.0               2.132               OK                  
locust_search_cql:recently_viewed                  100.0               0.034               OK                  
locust_search_cql:search_results                   100.0               0.416               OK                  
locust_upload_attachment                           100.0               0.659               OK                  
locust_view_attachment                             100.0               0.15                OK                  
locust_view_blog                                   100.0               1.371               OK                  
locust_view_dashboard                              100.0               1.519               OK                  
locust_view_page:open_page                         100.0               0.612               OK                  
locust_view_page:view_page_tree                    100.0               0.132               OK                  
selenium_a_login                                   100.0               1.06                OK                  
selenium_create_comment                            100.0               1.706               OK                  
selenium_create_page                               100.0               2.061               OK                  
selenium_edit_page                                 100.0               2.945               OK                  
selenium_view_blog                                 100.0               0.934               OK                  
selenium_view_dashboard                            100.0               1.153               OK                  
selenium_view_page                                 100.0               0.679               OK                  
selenium_z_log_out                                 100.0               0.195               OK                  
locust_app_specific_action                         100.0               7.517               OK                  APP-SPECIFIC        
selenium_custom_action                             100.0               9.673               OK                  APP-SPECIFIC        
