Summary run status                                 FAIL
               
Artifacts dir                                      2021-02-12_14-44-49 
OS                                                 Linux               
DC Apps Performance Toolkit version                4.0.0               
Application                                        confluence          
Dataset info                                       903435 pages        
Application nodes count                            2                   
Concurrency                                        200                 
Expected test run duration from yml file           600 sec             
Actual test run duration                           911 sec             
Finished                                           (True, 'OK')        
Compliant                                          (False, 'Test run duration 911 sec < than minimum test duration 2700 sec.')
Success                                            (True, 'OK')        
Has app-specific actions                           True                

Action                                            Success Rate        Avg time            Status              
locust_comment_page                                100.0               0.16                OK                  
locust_create_and_edit_page:create_page            100.0               0.632               OK                  
locust_create_and_edit_page:create_page_editor     100.0               0.357               OK                  
locust_create_and_edit_page:edit_page              100.0               0.683               OK                  
locust_create_and_edit_page:open_editor            100.0               0.24                OK                  
locust_create_blog:blog_editor                     100.0               0.401               OK                  
locust_create_blog:feel_and_publish                100.0               0.619               OK                  
locust_like_page                                   100.0               0.061               OK                  
locust_login_and_view_dashboard                    100.0               2.076               OK                  
locust_search_cql:recently_viewed                  100.0               0.037               OK                  
locust_search_cql:search_results                   100.0               0.418               OK                  
locust_upload_attachment                           100.0               0.671               OK                  
locust_view_attachment                             100.0               0.133               OK                  
locust_view_blog                                   100.0               1.302               OK                  
locust_view_dashboard                              100.0               1.511               OK                  
locust_view_page:open_page                         100.0               0.62                OK                  
locust_view_page:view_page_tree                    100.0               0.125               OK                  
selenium_a_login                                   100.0               1.138               OK                  
selenium_create_comment                            100.0               1.779               OK                  
selenium_create_page                               100.0               2.098               OK                  
selenium_edit_page                                 100.0               3.187               OK                  
selenium_view_blog                                 100.0               1.061               OK                  
selenium_view_dashboard                            100.0               1.662               OK                  
selenium_view_page                                 100.0               0.671               OK                  
selenium_z_log_out                                 100.0               0.23                OK                  
locust_app_specific_action                         100.0               7.62                OK                  APP-SPECIFIC        
selenium_custom_action                             100.0               9.502               OK                  APP-SPECIFIC        
