Summary run status                                 FAIL
               
Artifacts dir                                      2021-03-12_08-49-31 
OS                                                 Linux               
DC Apps Performance Toolkit version                4.0.0               
Application                                        confluence          
Dataset info                                       0 pages             
Application nodes count                            2                   
Concurrency                                        200                 
Expected test run duration from yml file           2700 sec            
Actual test run duration                           571 sec             
Finished                                           (False, 'Actual test duration 571 sec < than expected test_duration 2700 sec.')
Compliant                                          (False, 'Test run duration 571 sec < than minimum test duration 2700 sec.')
Success                                            (False, 'One or more actions have success rate < 95.0 %.')
Has app-specific actions                           True                

Action                                            Success Rate        Avg time            Status              
locust_comment_page                                100.0               0.213               OK                  
locust_create_and_edit_page:create_page            100.0               0.741               OK                  
locust_create_and_edit_page:create_page_editor     100.0               0.416               OK                  
locust_create_and_edit_page:edit_page              100.0               0.763               OK                  
locust_create_and_edit_page:open_editor            100.0               0.263               OK                  
locust_create_blog:blog_editor                     100.0               0.521               OK                  
locust_create_blog:feel_and_publish                100.0               0.75                OK                  
locust_like_page                                   100.0               0.064               OK                  
locust_login_and_view_dashboard                    99.5                1.516               OK                  
locust_search_cql:recently_viewed                  100.0               0.047               OK                  
locust_search_cql:search_results                   100.0               0.27                OK                  
locust_upload_attachment                           100.0               0.809               OK                  
locust_view_attachment                             100.0               0.201               OK                  
locust_view_blog                                   100.0               1.451               OK                  
locust_view_dashboard                              100.0               1.081               OK                  
locust_view_page:open_page                         100.0               0.767               OK                  
locust_view_page:view_page_tree                    100.0               0.302               OK                  
selenium_a_login                                   100.0               0.641               OK                  
selenium_create_comment                            100.0               1.685               OK                  
selenium_create_page                               100.0               1.581               OK                  
selenium_edit_page                                 100.0               2.3                 OK                  
selenium_view_blog                                 100.0               0.965               OK                  
selenium_view_dashboard                            0.0                 20.46               Fail                
selenium_view_page                                 100.0               0.741               OK                  
selenium_z_log_out                                 100.0               0.17                OK                  
selenium_custom_action                             100.0               0.91                OK                  APP-SPECIFIC        
