Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
locust_login_and_view_dashboard,200,2135,2404,2652,2718,2801,1522,3182,0.0
locust_view_page:open_page,4726,663,644,951,1125,1269,303,1465,0.0
locust_create_blog:blog_editor,263,419,372,536,547,584,282,654,0.0
locust_view_dashboard,549,1503,1322,1933,1959,2001,1031,2075,0.0
locust_create_and_edit_page:create_page_editor,508,362,408,460,472,508,224,524,0.0
locust_view_blog,663,1250,1208,1796,1895,2310,482,2377,0.0
locust_search_cql:recently_viewed,631,35,32,51,56,83,13,181,0.0
locust_view_page:view_page_tree,4680,255,225,451,512,615,23,797,0.0
locust_comment_page,471,200,191,282,310,356,108,1108,0.0
locust_create_blog:feel_and_publish,261,658,619,808,825,853,476,896,0.0
locust_create_and_edit_page:create_page,502,648,724,801,822,846,448,896,0.0
locust_like_page,230,59,54,81,86,90,24,165,0.0
locust_search_cql:search_results,627,452,397,516,562,1525,216,7002,0.0
locust_upload_attachment,405,750,709,1059,1151,1366,427,1475,0.0
locust_create_and_edit_page:open_editor,495,238,254,286,291,310,165,368,0.0
locust_view_attachment,265,177,150,272,303,362,96,411,0.0
locust_create_and_edit_page:edit_page,487,686,759,838,852,895,471,944,0.0
selenium_login:open_login_page,257,118,94,154,160,176,85,2079,0.0
selenium_login:login_and_view_dashboard,257,654,644,702,710,748,570,829,0.0
selenium_login,257,850,842,906,920,953,734,2983,0.0
selenium_view_page,257,642,610,762,818,903,367,3840,0.0
selenium_create_page:open_create_page_editor,257,653,626,736,744,779,544,2329,0.0
selenium_create_page:save_created_page,257,633,628,669,683,708,559,1169,0.0
selenium_create_page,257,1915,1899,2003,2026,2049,1797,4142,0.0
selenium_edit_page:open_create_page_editor,257,1597,1519,2529,2591,2715,939,2886,0.0
selenium_edit_page:save_edited_page,257,932,779,1095,1251,1387,616,20611,0.0
selenium_edit_page,257,2550,2347,3315,3510,3811,1622,22115,0.0
selenium_create_comment:write_comment,257,515,586,752,795,861,246,1674,0.0
selenium_create_comment:save_comment,257,613,611,621,626,634,602,656,0.0
selenium_create_comment,257,1579,1591,1879,1964,2080,1219,2688,0.0
selenium_view_blog,257,844,827,1135,1281,1422,511,1945,0.0
selenium_view_dashboard,257,1009,1007,1030,1042,1081,977,1138,0.0
selenium_app_custom_action:view_page,257,948,822,900,921,1015,682,30924,0.0
selenium_app_custom_action,257,948,822,901,921,1015,682,30924,0.0
selenium_log_out,257,99,97,105,109,152,86,175,0.0
